01862cwg6j 2018-05-12T03:29:57.232000Z AK.P23K.--.BHZ  2018-05-12T03:30:49.418000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.O15K.--.BHZ  2018-05-12T03:31:32.376000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.DHY.--.BHZ   2018-05-12T03:31:32.999000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z TA.M17K.--.BHZ  2018-05-12T03:31:33.576000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z CN.YUK6.--.HHZ  2018-05-12T03:31:36.297000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.M16K.--.BHZ  2018-05-12T03:31:38.276000Z P 
01862cwg6j 2018-05-12T03:29:57.232000Z AK.BRLK.--.BHZ  2018-05-12T03:30:49.227000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.PLK3.--.EHZ  2018-05-12T05:26:52.865000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.ACH.--.BHZ   2018-05-12T05:26:55.268000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.KCE.--.EHZ   2018-05-12T05:26:56.509000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.Q17K.--.BHZ  2018-05-12T05:26:56.951000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.KEL.--.EHZ   2018-05-12T05:26:59.620000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.PLK3.--.EHE  2018-05-12T05:26:59.784000Z S 
01862e2n88 2018-05-12T05:26:44.086000Z AV.ANCK.--.BHE  2018-05-12T05:27:02.911000Z S 
01862e2n88 2018-05-12T05:26:44.086000Z AV.ACH.--.BHE   2018-05-12T05:27:03.093000Z S 
01862e2n88 2018-05-12T05:26:44.086000Z AT.OHAK.--.BHZ  2018-05-12T05:27:06.175000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.Q17K.--.BHE  2018-05-12T05:27:06.307000Z S 
01862e2n88 2018-05-12T05:26:44.086000Z AK.SII.--.BHZ   2018-05-12T05:27:07.092000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z II.KDAK.00.BHZ  2018-05-12T05:27:10.888000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AK.Q19K.--.BHZ  2018-05-12T05:27:12.135000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.P18K.--.BHZ  2018-05-12T05:27:14.461000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.Q20K.--.BHZ  2018-05-12T05:27:16.425000Z P 
01862e2n88 2018-05-12T05:26:44.086000Z AV.ANCK.--.BHZ  2018-05-12T05:26:54.801000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AK.R16K.--.BHZ  2018-05-12T13:59:56.521000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AV.PLK3.--.EHZ  2018-05-12T13:59:43.610000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AV.ANCK.--.BHZ  2018-05-12T13:59:44.488000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AV.ACH.--.BHZ   2018-05-12T13:59:44.769000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AV.Q17K.--.BHZ  2018-05-12T13:59:45.350000Z P 
01862j165e 2018-05-12T13:59:36.985000Z AV.KEL.--.EHZ   2018-05-12T13:59:48.352000Z P 
